period_end,value
2005-03-31,2.25
2005-06-30,2.25
2005-09-30,2.25
2005-12-31,2.25
2006-03-31,2.52
2006-06-30,2.52
2006-09-30,2.52
2006-12-31,2.52
2007-03-31,4.14
2007-06-30,4.14
2007-09-30,4.14
2007-12-31,4.14
2008-03-31,2.25
2008-06-30,2.25
2008-09-30,2.25
2008-12-31,2.25
2009-03-31,2.25
2009-06-30,2.25
2009-09-30,2.25
2009-12-31,2.25
2010-03-31,2.75
2010-06-30,2.75
2010-09-30,2.75
2010-12-31,2.75
2011-03-31,3.5
2011-06-30,3.5
2011-09-30,3.5
2011-12-31,3.5
2012-03-31,3.0
2012-06-30,3.0
2012-09-30,3.0
2012-12-31,3.0
2013-03-31,3.0
2013-06-30,3.0
2013-09-30,3.0
2013-12-31,3.0
2014-03-31,2.75
2014-06-30,2.75
2014-09-30,2.75
2014-12-31,2.75
2015-03-31,1.5
2015-06-30,1.5
2015-09-30,1.5
2015-12-31,1.5
2016-03-31,1.5
2016-06-30,1.5
2016-09-30,1.5
2016-12-31,1.5
2017-03-31,1.5
2017-06-30,1.5
2017-09-30,1.5
2017-12-31,1.5
2018-03-31,1.5
2018-06-30,1.5
2018-09-30,1.5
2018-12-31,1.5
2019-03-31,1.5
2019-06-30,1.5
2019-09-30,1.5
2019-12-31,1.5
2020-03-31,1.5
2020-06-30,1.5
2020-09-30,1.5
2020-12-31,1.5
2021-03-31,1.5
2021-06-30,1.5
2021-09-30,3.5
2021-12-31,3.5
2022-03-31,3.5
2022-06-30,3.0
2022-09-30,3.0
2022-12-31,2.5
2023-03-31,2.5
2023-06-30,2.5
2023-09-30,2.0
2023-12-31,2.0
2024-03-31,2.0
2024-06-30,1.5
2024-09-30,1.5
2024-12-31,1.5
2025-03-31,1.0
2025-06-30,1.0
2025-09-30,1.0
2025-12-31,1.0
2026-03-31,0.5
